Name                                              Stmts   Miss  Cover
---------------------------------------------------------------------
enrobie/__init__.py                                   6      0   100%
enrobie/clients/__init__.py                           7      0   100%
enrobie/clients/discord/__init__.py                   3      0   100%
enrobie/clients/discord/client.py                   127      0   100%
enrobie/clients/discord/command.py                   22      0   100%
enrobie/clients/discord/message.py                   49      0   100%
enrobie/clients/discord/params.py                    12      0   100%
enrobie/clients/discord/test/__init__.py              0      0   100%
enrobie/clients/discord/test/test_client.py          56      0   100%
enrobie/clients/discord/test/test_command.py         25      0   100%
enrobie/clients/discord/test/test_message.py         63      0   100%
enrobie/clients/irc/__init__.py                       3      0   100%
enrobie/clients/irc/client.py                       125      0   100%
enrobie/clients/irc/command.py                       13      0   100%
enrobie/clients/irc/message.py                       58      0   100%
enrobie/clients/irc/params.py                        12      0   100%
enrobie/clients/irc/test/__init__.py                  0      0   100%
enrobie/clients/irc/test/test_client.py              53      0   100%
enrobie/clients/irc/test/test_command.py             22      0   100%
enrobie/clients/irc/test/test_message.py             61      0   100%
enrobie/clients/mattermost/__init__.py                3      0   100%
enrobie/clients/mattermost/client.py                126      0   100%
enrobie/clients/mattermost/command.py                22      0   100%
enrobie/clients/mattermost/message.py                49      0   100%
enrobie/clients/mattermost/params.py                 12      0   100%
enrobie/clients/mattermost/test/__init__.py           0      0   100%
enrobie/clients/mattermost/test/test_client.py       56      0   100%
enrobie/clients/mattermost/test/test_command.py      25      0   100%
enrobie/clients/mattermost/test/test_message.py      66      0   100%
enrobie/conftest.py                                  35      0   100%
enrobie/execution/__init__.py                         0      0   100%
enrobie/execution/config.py                          15      0   100%
enrobie/execution/crypts.py                          18      0   100%
enrobie/execution/service.py                         21      0   100%
enrobie/execution/test/__init__.py                    0      0   100%
enrobie/execution/test/test_config.py                 4      0   100%
enrobie/execution/test/test_crypts.py                 4      0   100%
enrobie/execution/test/test_service.py                4      0   100%
enrobie/plugins/__init__.py                          14      0   100%
enrobie/plugins/ainswer/__init__.py                   3      0   100%
enrobie/plugins/ainswer/helpers.py                  112      1    99%
enrobie/plugins/ainswer/history.py                  114      0   100%
enrobie/plugins/ainswer/models.py                    11      0   100%
enrobie/plugins/ainswer/params.py                    33      0   100%
enrobie/plugins/ainswer/plugin.py                   104      3    97%
enrobie/plugins/ainswer/test/__init__.py              0      0   100%
enrobie/plugins/ainswer/test/test_helpers.py         36      0   100%
enrobie/plugins/ainswer/test/test_history.py         36      0   100%
enrobie/plugins/ainswer/test/test_plugin.py          54      0   100%
enrobie/plugins/autojoin/__init__.py                  3      0   100%
enrobie/plugins/autojoin/params.py                   14      0   100%
enrobie/plugins/autojoin/plugin.py                  129      7    95%
enrobie/plugins/autojoin/test/__init__.py             0      0   100%
enrobie/plugins/autojoin/test/test_plugin.py         42      0   100%
enrobie/plugins/autonick/__init__.py                  3      0   100%
enrobie/plugins/autonick/params.py                   10      0   100%
enrobie/plugins/autonick/plugin.py                   68      8    88%
